ensembl_gene_id	hgnc_symbol	TPM
ENSG00000172014	ANKRD20A4	2
ENSG00000186481	ANKRD20A5P	358
ENSG00000229089	ANKRD20A8P	15
ENSG00000163126	ANKRD23	38
ENSG00000107890	ANKRD26	514
ENSG00000105186	ANKRD27	437
ENSG00000206560	ANKRD28	4101
ENSG00000180777	ANKRD30B	17
ENSG00000198483	ANKRD35	0
ENSG00000135976	ANKRD36	6400
ENSG00000196912	ANKRD36B	2631
ENSG00000230006	ANKRD36BP2	194
ENSG00000174501	ANKRD36C	6013
ENSG00000186352	ANKRD37	85
ENSG00000213337	ANKRD39	27
ENSG00000154945	ANKRD40	153
ENSG00000137494	ANKRD42	307
ENSG00000065413	ANKRD44	964
ENSG00000183831	ANKRD45	0
ENSG00000186106	ANKRD46	260
ENSG00000168876	ANKRD49	221
ENSG00000151458	ANKRD50	570
ENSG00000139645	ANKRD52	138
ENSG00000100124	ANKRD54	221
ENSG00000135299	ANKRD6	79
ENSG00000181626	ANKRD62	10
ENSG00000235098	ANKRD65	6
ENSG00000156381	ANKRD9	85
ENSG00000064999	ANKS1A	235
ENSG00000185046	ANKS1B	62
ENSG00000168096	ANKS3	70
ENSG00000175311	ANKS4B	41
ENSG00000165138	ANKS6	9
ENSG00000163516	ANKZF1	397
ENSG00000011426	ANLN	7
ENSG00000160746	ANO10	594
ENSG00000177119	ANO6	397
ENSG00000185101	ANO9	89
ENSG00000011201	ANOS1	27
ENSG00000140350	ANP32A	918
ENSG00000136938	ANP32B	5402
ENSG00000143401	ANP32E	4465
ENSG00000166825	ANPEP	2
ENSG00000163297	ANTXR2	746
ENSG00000135046	ANXA1	5843
ENSG00000122359	ANXA11	1140
ENSG00000182718	ANXA2	354
ENSG00000177721	ANXA2R	153
ENSG00000138772	ANXA3	1
ENSG00000196975	ANXA4	795
ENSG00000164111	ANXA5	1337
ENSG00000197043	ANXA6	713
ENSG00000138279	ANXA7	1356
ENSG00000143412	ANXA9	5
ENSG00000136250	AOAH	250
ENSG00000131471	AOC3	30
ENSG00000138356	AOX1	0
ENSG00000244301	AOX3P	32
ENSG00000138660	AP1AR	196
ENSG00000100280	AP1B1	368
ENSG00000166747	AP1G1	571
ENSG00000213983	AP1G2	1084
ENSG00000072958	AP1M1	641
ENSG00000106367	AP1S1	48
ENSG00000182287	AP1S2	915
ENSG00000152056	AP1S3	85
ENSG00000196961	AP2A1	408
ENSG00000280759	AP2A2	174
ENSG00000006125	AP2B1	1473
ENSG00000161203	AP2M1	1356
ENSG00000042753	AP2S1	324
ENSG00000132842	AP3B1	665
ENSG00000065000	AP3D1	409
ENSG00000185009	AP3M1	457
ENSG00000070718	AP3M2	194
ENSG00000177879	AP3S1	836
ENSG00000157823	AP3S2	83
ENSG00000134262	AP4B1	599
ENSG00000081014	AP4E1	45
ENSG00000221838	AP4M1	107
ENSG00000100478	AP4S1	151
ENSG00000254470	AP5B1	44
